title,description,link,published
Al Nassr vs Al Hazm con Cristiano Ronaldo: ¿a qué hora juegan y dónde ver la fecha 6 de Liga de Arabia Saudita?,El equipo de Cristiano Ronaldo buscará su sexta victoria consecutiva en la Liga de Arabia Saudita.,https://rpp.pe/futbol/futbol-mundial/al-nassr-vs-al-hazm-en-vivo-con-cristiano-ronaldo-a-que-hora-juegan-y-donde-ver-fecha-6-liga-de-arabia-saudita-via-disney-plus-partidos-de-hoy-noticia-1660887,"Fri, 24 Oct 2025 19:37:55 -0500"
"Abogado de Guillermo Bermejo califica al congresista como ""preso político"" tras condena a 15 años de prisión",El defensor legal Ronald Atencio cuestionó la sentencia que condenó a Guillermo Bermejo a 15 años de prisión por afiliación a una organización terrorista.,https://rpp.pe/politica/judiciales/abogado-de-guillermo-bermejo-califica-al-congresista-como-preso-politico-tras-condena-a-15-anos-de-prision-noticia-1660890,"Fri, 24 Oct 2025 19:12:22 -0500"
"Murió Dave Ball, teclista del dúo Soft Cell y pionero del synth-pop, a los 66 años","Dave Ball murió en su casa en Londres. El músico es recordado por formar el dúo Soft Cell junto con Marc Almond en los 80. ""No estaría donde estoy sin ti"", expresó Marc.",https://rpp.pe/famosos/celebridades/dave-ball-muere-teclista-del-duo-soft-cell-y-pionero-del-synth-pop-a-los-66-anos-marc-almond-noticia-1660886,"Fri, 24 Oct 2025 19:05:23 -0500"
Voto digital: verifica si perteneces a los once grupos seleccionados para su posible implementación en las Elecciones 2026,"No solo los policías y militares, otros ciudadanos podrían votar vía internet desde la comodidad de su hogar o desde cualquier parte del mundo, usando un dispositivo con conexión a internet.",https://rpp.pe/politica/elecciones/voto-digital-verifica-si-perteneces-a-los-once-grupos-seleccionados-para-su-uso-en-las-elecciones-2026-noticia-1660876,"Fri, 24 Oct 2025 19:05:11 -0500"
Arequipa: adolescente finge secuestro para no ir al colegio en Mariano Melgar,"Durante su declaración, la menor ofreció detalles poco creíbles y finalmente confesó que inventó toda la historia porque no quería asistir al colegio.",https://rpp.pe/peru/actualidad/adolescente-finge-secuestro-para-no-ir-al-colegio-en-mariano-melgar-noticia-1660892,"Fri, 24 Oct 2025 18:59:32 -0500"
Elecciones 2026: más de 109 mil votantes no renovaron DNI y aparecerán con cara de niño en el padrón electoral,"El Reniec entregó formalmente al Jurado Nacional de Elecciones la lista del Padrón Electoral preliminar para las Elecciones Generales 2026. Desde el 27 hasta el 31 de octubre, el Reniec publicará este padrón a nivel nacional de forma virtual y física para que electores verifiquen sus datos y, de haber alguna omisión o dato incorrecto, interpongan un reclamo u observación.",https://rpp.pe/peru/actualidad/elecciones-2026-mas-de-109-mil-votantes-no-renovaron-dni-y-apareceran-con-cara-de-nino-en-el-padron-electoral-noticia-1660880,"Fri, 24 Oct 2025 18:55:41 -0500"
"Grupo UNACEM: líder en cemento, concreto y energía para el desarrollo sostenible","Con más de 100 años de trayectoria, el Grupo UNACEM impulsa el desarrollo sostenible en la costa del Pacífico con soluciones integrales en cemento, concreto y energía. La compañía crea valor económico, social y ambiental, y ya está trabajando para ser carbono neutral para el 2050.",https://rpp.pe/campanas/contenido-patrocinado/grupo-unacem-lider-en-cemento-concreto-y-energia-para-el-desarrollo-sostenible-noticia-1660889,"Fri, 24 Oct 2025 18:36:53 -0500"
Poder Judicial dicta 15 años de prisión para Guillermo Bermejo por afiliación a organización terrorista,El parlamentario fue sentenciado por su vinculación con los remanentes de la organización terrorista Sendero Luminoso en la zona del VRAEM.,https://rpp.pe/lima/judiciales/guillermo-bermejo-poder-judicial-dicta-15-anos-de-prision-por-presunta-afiliacion-a-la-organizacion-terrorista-a-sendero-luminoso-noticia-1660879,"Fri, 24 Oct 2025 18:15:58 -0500"
"Miss USA 2025 en vivo: horario, dónde ver, candidatas y todo sobre el certamen de belleza",Conoce todos los detalles del esperado concurso de belleza que buscará a la sucesora de Alma Cooper (Miss USA 2024) para que represente a EE. UU. en el Miss Universo.,https://rpp.pe/famosos/celebridades/miss-usa-2025-en-vivo-a-que-hora-inicia-candidatas-donde-ver-transmision-y-que-se-sabe-del-certamen-de-belleza-de-estados-unidos-noticia-1660820,"Fri, 24 Oct 2025 18:30:22 -0500"
"""Me quedaría callado"": Álvaro Barco responde a Néstor Gorosito y dice que Alianza no debe justificar su situación",El director deportivo de Universitario celebró la victoria crema ante Sporting Cristal en el Estadio Nacional.,https://rpp.pe/futbol/descentralizado/universitario-alvaro-barco-respondio-a-nestor-gorosito-de-alianza-lima-por-polemicas-declaraciones-me-callaria-con-tantos-puntos-de-ventaja-noticia-1660883,"Fri, 24 Oct 2025 18:23:47 -0500"
